,thumbnail,title,category,view_count,likes_count,dislikes_count,upload_date,video_length
0,https://i.ytimg.com/vi/EuSUYvA7ZMA/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCYS0u9lhnGECvTD__3DhIGQJQvNA,버려진 새끼 강아지를 주웠습니다,동물,"조회수 891,271회",2.5만개,772개,2020. 1. 8.,6:04
1,https://i.ytimg.com/vi/OS9uz3qIW7c/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCjn7ZvuIZuANwKAdb2kV3xowp-oQ,외국인을 위한 필수 한국어 TOP 3,엔터테인먼트,"조회수 740,904회",2.2만개,340개,2020. 1. 2.,5:29
2,https://i.ytimg.com/vi/p5sq-Vt4KeA/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC_2Wrut79RNnmxBx1YjifLc5i_RA,서울 한복판에 나타난 괴물 사냥꾼,엔터테인먼트,"조회수 482,429회",1.2만개,136개,2019. 12. 27.,6:38
3,https://i.ytimg.com/vi/1zTwAx3MnXg/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBhU97mTMs267175zhdIUkyr1pBRw,크리스마스 기념 1000만원 FLEX,엔터테인먼트,"조회수 990,325회",3.6만개,309개,2019. 12. 23.,6:47
4,https://i.ytimg.com/vi/JsISM29qgC0/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDbaaejv9bQjHYogITbxT_D6JJb2A,던질까 말까 100시간 춤 추기 (세계 최초),엔터테인먼트,"조회수 2,564,107회",4.8만개,2천개,2019. 12. 19.,5:04
5,https://i.ytimg.com/vi/e5JyXe8EN8M/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCHOgunS2tWYwc8mwIhmWKgpMFcWA,거짓말해서 죄송합니다,엔터테인먼트,"조회수 1,718,884회",3.4만개,791개,2019. 12. 13.,5:47
6,https://i.ytimg.com/vi/KPfduxoaZ60/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBxKD_o18YkR8SWQ2MAG4wyJ_ComQ,한국인들의 러시아에 대한 궁금증 TOP3,노하우/스타일,"조회수 867,617회",3.1만개,430개,2019. 12. 6.,5:44
7,https://i.ytimg.com/vi/46byGJLWoic/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCxB2ld8e7Y6CFXp9J4hSIuDUtwOA,현실 겨울왕국에 방문하다?!,인물/블로그,"조회수 761,152회",1.7만개,166개,2019. 11. 29.,6:23
8,https://i.ytimg.com/vi/MtmCHU9SeXs/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAKdV4eXp2NFNE44bnZdKIHCQgp2A,러시아 소녀 인터뷰 : 독도는 솔직히 누구 땅?,여행/이벤트,"조회수 668,095회",1.8만개,156개,2019. 11. 26.,7:15
9,https://i.ytimg.com/vi/secUbD8ob6M/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDO8yHANS5yRHRWoqJSq0j5BcRQng,시베리아 대도시에는 뭐가 있을까?,여행/이벤트,"조회수 866,957회",1.9만개,368개,2019. 11. 22.,6:06
10,https://i.ytimg.com/vi/kMixPiZa0f4/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBy50VZKREZ45d4f-t00wfFLlG-6Q,한국인이 세상을 구할 히어로인 이유,엔터테인먼트,"조회수 658,346회",1.5만개,250개,2019. 11. 17.,4:49
11,https://i.ytimg.com/vi/TukQ9ZK9rMk/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCrQ-ERfy8OM-Zg85jUfqqrLmQB-A,러시아인과 3분만에 친해지는 법,엔터테인먼트,"조회수 1,796,245회",4.4만개,442개,2019. 11. 13.,4:21
12,https://i.ytimg.com/vi/tk-ymQIxrjE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC3FJ0TR__szgLW9BoLdxsTx-fkoQ,50만 구독자 기념 선물 이벤트,인물/블로그,"조회수 925,631회",2.8만개,385개,2019. 11. 10.,5:26
13,https://i.ytimg.com/vi/l1aXRC0qIiU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB5Sy_6F59E324Kkz9oar6KQNksJQ,수능 영어 도전한 외국인의 분노,노하우/스타일,"조회수 1,581,049회",3.7만개,460개,2019. 11. 5.,5:27
14,https://i.ytimg.com/vi/610of_JFmMk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAc3tqr8ZdpmLizOyjvhm9AIvXDsw,한국의 숨겨진 핫플레이스 방문?!,엔터테인먼트,"조회수 816,296회",1.9만개,245개,2019. 11. 1.,5:11
15,https://i.ytimg.com/vi/w-xpDLh2ifM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA1i2NccIzVM3ELfFIQ_B0gX8q_WQ,한국에서 가장 미친 사람 TOP 5,코미디,"조회수 1,114,700회",2.6만개,314개,2019. 10. 29.,5:03
16,https://i.ytimg.com/vi/rqfBYENbbWk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBD8KQNc_yjEhs0gtWJNkb_lXPXvA,결국 대한민국 1위 기업 광고 모델이 되다?!,과학기술,"조회수 1,387,306회",3만개,448개,2019. 10. 26.,5:09
17,https://i.ytimg.com/vi/zOkqk38QGlY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAeH6PahU7W5BPMoYGSSZAIYT-8VA,대한민국 정부의 비밀실험 폭로?!,비영리/사회운동,"조회수 646,330회",1.5만개,235개,2019. 10. 19.,4:20
18,https://i.ytimg.com/vi/LCCYq7lvx8A/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDajQ9eQvVWEm8jTo0vcN04HvuPWw,외국인들이 한국편의점에서 미쳐버리는 이유?,엔터테인먼트,"조회수 906,566회",1.9만개,324개,2019. 10. 14.,6:25
19,https://i.ytimg.com/vi/IbUc6yok274/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBVN_aVySOaTBFYiGA-Mv85r6N09g,러시아 여행할 때 절대 가면 안 되는 장소가 있다?,여행/이벤트,"조회수 1,720,549회",2.4만개,471개,2019. 10. 11.,5:42
20,https://i.ytimg.com/vi/ibpbUtMzWEI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCohdydnn7WdrcSCttUm40IzVJhvg,한국인이 러시아에 가면 맞을까?,여행/이벤트,"조회수 1,614,849회",2.8만개,722개,2019. 10. 7.,6:37
21,https://i.ytimg.com/vi/MxxlVrI1svc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDW6aP_r568NiQAk94FW3ZwPQ2Ygg,성공한 사람의 아이폰11 Pro 언박싱,과학기술,"조회수 2,119,022회",4.3만개,1.3천개,2019. 10. 4.,5:51
22,https://i.ytimg.com/vi/tzf9_7S8jaU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDCOI_p1nm8hiUVPKM-uRuS-t1qXA,한국의 미스테리 비밀단체에 잠입한 외국인,코미디,"조회수 512,833회",1.2만개,161개,2019. 9. 29.,5:26
23,https://i.ytimg.com/vi/CAoY6iNn2Vg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCltsAuVIkIirlSTQvQaMsNM6db5g,불닭볶음면 먹고 죽은 외국인,인물/블로그,"조회수 2,540,005회",4.9만개,1.9천개,2019. 9. 26.,6:52
24,https://i.ytimg.com/vi/eDA3p2raR3U/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBHAGicU9W-SCBmXGpyktb27yS3BA,한국 편의점 복권 10만원으로 인생역전한 외국인,노하우/스타일,"조회수 1,997,852회",3만개,803개,2019. 9. 22.,6:08
25,https://i.ytimg.com/vi/xu5QtLW-4jo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBrPAqe_AYV8JiPk6mZ-_0qkPDsLQ,명륜진사갈비 먹고 미쳐버린 외국인,노하우/스타일,"조회수 1,506,331회",2.8만개,495개,2019. 9. 19.,5:11
