,thumbnail,title,category,view_count,likes_count,dislikes_count,upload_date,video_length
0,https://i.ytimg.com/vi/f80KUtt-zcc/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAYzqGrm-aM88vIgDBQt24VNPc2hw,"ENG)출근일상,친구들이랑 비빔밥 해 먹고 라탄 원데이클래스 듣는 뿌듯한 일상 그리고 생일선물 풀어보기",Yêu Chim Chim,"조회수 504,859회",1.5만개,183개,2019. 12. 25.,23:52
1,https://i.ytimg.com/vi/kcBHZlqjyT8/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLADreS9xPea5_oE4ajkb00zXS1igA,ENG)자취방에서 삼시세끼 해 먹는 일상(feat.마켓컬리),jini,"조회수 581,858회",0,0,2019. 12. 17.,14:38
2,https://i.ytimg.com/vi/clDwq-7NHvI/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCiU_5v12QGSd0JIbNBp5gT2_vZOA,"ENG)방산시장가서 비누만들기 재료사고,자취방에서 샐러드김밥,수제비떡볶이 해 먹는 일상",Büşra İlhan,"조회수 701,797회",1.8만개,264개,2019. 12. 15.,27:39
3,https://i.ytimg.com/vi/RsIXAXXkS44/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB4vVh2KgNPaDFM6B_Se0CirkYUJA,"ENG)맛있는 샌드위치,김치파스타 해 먹기,출근일상,연희동 맛집가는 평범한 일상",bacalhau zin,"조회수 1,507,824회",3.9만개,514개,2019. 12. 5.,26:28
4,https://i.ytimg.com/vi/8qq7h0715g4/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCcuv_AdgSvozODFGYu5vHSmMFwog,ENG)첫 출근하는 날의 일상 샐러드파스타 만들기 그리고 친구들이랑 뜨개질하는 일상(feat.팬밋업),彭語仙,"조회수 745,305회",1.8만개,234개,2019. 11. 27.,30:42
5,https://i.ytimg.com/vi/yhsBftai0GU/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDFyr0_feumam-H9_XMm9wpbICgTw,"ENG)자취방에서 맛있고 간단한 브런치 해 먹기,다이어리 꾸미고 츄러스 만들기 그리고 친구들이랑 우정타투",hueijen,"조회수 662,404회",1.6만개,251개,2019. 11. 20.,24:54
6,https://i.ytimg.com/vi/daBJNHQ99k4/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCiD6VIVyVNZa8f8ZyJ3p6TAW1YfA,ENG)강아지랑 함께한 집순이일상 그리고 혼자 망원동 이곳저곳 돌아다니고 소품구입하는 일상,인물/블로그,"조회수 661,249회",1.7만개,233개,2019. 11. 13.,29:52
7,https://i.ytimg.com/vi/5gaInOuEp74/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDax0Bwnkop7arhH0FvsKkFKhnM0w,ENG)고등학교 친구들이랑 함께한 러시아 블라디보스톡 3박 4일 여행vlog,hueijen,"조회수 494,147회",1.5만개,186개,2019. 11. 9.,25:24
8,https://i.ytimg.com/vi/9R2Uiauwpmg/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBdymvmWDF7RXOa-XUisK4edXIUDA,"ENG)재밌는 홈카페 , 새로운식물들 ,자취방에 친구들 초대해서 맛있는 요리 만들어주는 일상",인물/블로그,"조회수 692,660회",1.7만개,223개,2019. 11. 2.,24:18
9,https://i.ytimg.com/vi/pNVknPAy6Dk/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCzcC8A0oseUPo44TNpcUarAt_MHA,"ENG)아이폰11언박싱하고,자취방에 친구 초대하고,맛있는 감자전 해먹는 일상",Lan Anh,"조회수 685,696회",1.7만개,283개,2019. 10. 24.,20:29
10,https://i.ytimg.com/vi/mict8r_lh3s/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCXlij9K5jNNSlkpMQ3jKTgosWo5A,"ENG)새로 이사한 자취방 인테리어 하고,해방촌 나들이,간단하면서 맛있는 요리해먹는 일상",hueijen,"조회수 1,047,857회",2.3만개,327개,2019. 10. 17.,21:51
11,https://i.ytimg.com/vi/BYW1vsGgleQ/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBWEvE7cEnounUGzRazOpJqr75tKw,"ENG)자취방에서 다양한 요리 ,자취방 6개월만에 다시 이사… 새로운 집 청소하러 가는 일상",Mariana Barbosa,"조회수 739,265회",1.6만개,275개,2019. 10. 12.,21:39
12,https://i.ytimg.com/vi/oJC7HznmuCI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAh-hLE3teYixk85DpVO3Ve95zOJw,"ENG)혼자 한남동 돌아다니고,필라테스 갔다가 혼자 영화 보고,맛있는 요리해먹는 일상",_moon_ tt,"조회수 775,384회",1.7만개,261개,2019. 10. 6.,23:05
13,https://i.ytimg.com/vi/OSWX_sYA_Es/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCalmqLDAJ6YS4DUaJ4KJOhm2MW-w,"ENG)피크닉매트 만들어서 한강 가고,집순이의 24시간,건강한집밥,무화과 스콘만드는 일상",Euijiung,"조회수 847,866회",1.7만개,315개,2019. 9. 29.,31:02
14,https://i.ytimg.com/vi/VnHbAIeSEJ8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBnWfUC-J5enyku1lJcZAlx3ldaDQ,"ENG)자취방에서 요리하고 먹기만 하는 일상,무화과잼 만들기,혼자 전시회 보기",Lan Anh,"조회수 706,622회",1.5만개,238개,2019. 9. 19.,25:52
15,https://i.ytimg.com/vi/8_v9ibF3Hyw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCG0f_QJH7nF0AQ9_TZqLOeYOd3dQ,ONDO VLOG) 요리&베이킹 모음 영상 2,Rn.,"조회수 458,626회",1만개,185개,2019. 9. 12.,23:20
16,https://i.ytimg.com/vi/57s9RlulxIg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB2_oI3BO6j21NfwFobI4XNWBT7QA,"ENG)오랜만에 그리는 그림 ,자취방에서 건강한 집밥,우유푸딩 만들기",Jikook hope,"조회수 690,253회",1.4만개,246개,2019. 9. 10.,25:44
17,https://i.ytimg.com/vi/uQgfRWFhgF0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBet4-u2zrAD4jCZfOvRVgTs_v7AA,"ENG)카페에서 소소한 취미생활하고,자취방에서 맛있는요리해 먹기,그리고 새로운 취미생활",llia,"조회수 1,291,302회",2.6만개,486개,2019. 9. 2.,33:37
18,https://i.ytimg.com/vi/YWzUQxdJG4U/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBP48ntA8UBv9RCxVgdIZhK_vHJgA,ONDO VLOG) 요리&베이킹 모음 영상 1,Nguyen Quang Tao,"조회수 521,914회",1.4만개,245개,2019. 8. 30.,24:17
19,https://i.ytimg.com/vi/n0QuYGMM6Iw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCIi8ZgpItM6PMHvPyt9IuyL8ieEg,"ENG)맛있는 집밥,화채 해먹고,혼자 알차게 보내는 여유로운 나의 취미 일상,택배언박싱",MERA메라,"조회수 734,094회",1.7만개,250개,2019. 8. 24.,28:34
20,https://i.ytimg.com/vi/a-4jFSF8Plk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCZUAUdFbeU1hPCYZJDxKip5v0UGA,"ENG)간단한 토스트 해먹고,길냥이들이랑 힐링,자취방에서 간단한 베이킹도 하는 평범한 일상",Zeynep Günaydın,"조회수 639,017회",1.4만개,247개,2019. 8. 18.,29:44
21,https://i.ytimg.com/vi/j6_NnH3kR40/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAmzjcYUFFqVUwxFUwBEfOiuLT0Yw,"ENG)갑자기 빠진 다이어리꾸미기,피클만들고 파스타 요리 해먹기,문구 쇼핑 언박싱",Y HSIEH,"조회수 922,464회",1.9만개,337개,2019. 8. 10.,34:32
22,https://i.ytimg.com/vi/MZSoMVx1jis/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBM3jQYMhlTByrdVoT3XEtBrlqHzg,"ENG)운동 갔다가 맛있는 요리도 해먹고,동생들이랑 포키 만들고 한강,파운드 케이크 만들기",Carol Lin,"조회수 639,364회",1.4만개,224개,2019. 7. 30.,22:10
23,https://i.ytimg.com/vi/-lsuF_2xkkQ/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDeICl-5ivBngKNJz5MpD-Sn-Q5fA,"ENG)집순이의 중국당면 떡볶이,토스트,방구조 바꾸기,택배 언박싱 하는 집순이 일상",Athu NT,"조회수 1,091,148회",2.1만개,317개,2019. 7. 25.,22:17
24,https://i.ytimg.com/vi/FsCqyEnVcWs/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDNE_80vB_HCYHk9-JKNxMAHY9fVw,"ENG)사촌동생이랑 샌드위치 만들고 소품샵 투어,옷방 정리하고 혼자 영화보러가는 일상",mono child,"조회수 850,712회",1.9만개,280개,2019. 7. 14.,24:40
25,https://i.ytimg.com/vi/EHoFOUjeeug/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCWFjPy5_Tjb8WN0b50yHh93sMhOQ,ENG)강아지와 함께한 제주도 힐링여행 vlog,Tú Anh,"조회수 438,121회",1.3만개,132개,최초 공개: 2019. 7. 10.,25:57
