,thumbnail,title,category,view_count,likes_count,dislikes_count,upload_date,video_length
0,https://i.ytimg.com/vi/_kQtmL0UeLs/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC2yiQTr4ANaUoSNuBf5qQ1_PHtVA,소화기가 터져버렸습니다.. 신기하네요 ㄷㄷ,코미디,"조회수 173,273회",3.9천개,101개,2020. 1. 8.,4:34
1,https://i.ytimg.com/vi/GRAptO27zA4/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA8DIcuPZQ3PKdTT4sTWP1SwvqMZg,이게 모래냐..? 인도 길거리 음식 모래 튀김 먹방,코미디,"조회수 202,352회",3.3천개,193개,2020. 1. 7.,5:07
2,https://i.ytimg.com/vi/UzIuLad41yo/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD8YrIqM7QAHfzmCsNdDfijNJGz_w,절대 안 깨지는 무장색 계란과 수박,코미디,"조회수 198,988회",3.5천개,98개,2020. 1. 6.,4:52
3,https://i.ytimg.com/vi/_7CbEHUtQdU/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB3qTqL42VJ7tUzGFSy4RkudmEs5Q,방송 도중 갑작스러운 통증으로....,코미디,"조회수 232,506회",7천개,99개,2020. 1. 5.,4:41
4,https://i.ytimg.com/vi/vHKYNf188DE/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA0HDcTzW9fRY-Qxth7nISfxWHzyg,大방어 통으로 요리 해봤습니다,코미디,"조회수 307,548회",3.8천개,163개,2020. 1. 3.,5:55
5,https://i.ytimg.com/vi/DtOtyNNJ9VA/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAh6URYOlFhmGgbF86vXhRDxENNpQ,90억 리조트 전세 내고 가족 여행 왔습니다,코미디,"조회수 914,720회",1.3만개,343개,2020. 1. 2.,5:54
6,https://i.ytimg.com/vi/uLIkXApB3Hs/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBP1MrPT2wEmgqhZAphHuMwS_PVAw,1초만 튀겨도 초대형 튀김이 되는 이것을 공개 합니다!,코미디,"조회수 609,518회",7.6천개,250개,2020. 1. 1.,4:40
7,https://i.ytimg.com/vi/4mRFrU3vXDo/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDbE3Ub5CrQJFehH_8Jo3SHfzF4YA,이거 먹다가 쌌다.. PAQUI ONE CHIP CHALLENGE,코미디,"조회수 451,731회",6.4천개,241개,2019. 12. 31.,5:50
8,https://i.ytimg.com/vi/KN7ZzUr14Zs/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBahMbgtxCYdA3Z6ZxDnyvoePN4Jw,오늘 돈 자랑 한번 해보겠습니다,코미디,"조회수 855,185회",1.6만개,483개,2019. 12. 29.,10:13
9,https://i.ytimg.com/vi/HL-qP8G-jBE/hqdefault.jpg?sqp=-oaymwEZCNACELwBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCoOQ0gSzUaUfelXNBlkS9KBTf_Hw,3년 연속 대상 받았습니다 팬분들 감사합니다!!,코미디,"조회수 410,206회",1.2만개,138개,2019. 12. 28.,3:49
