thumbnail,title,category,view_count,likes_count,dislikes_count,upload_date,video_length,subscribe_count
2,1,life,504859,15000,183,12,24,920000
2,1,life,701797,18000,264,12,28,920000
2,1,life,745305,18000,234,12,31,920000
2,1,life,662404,16000,251,12,25,920000
2.3,1,life,661249,17000,233,12,30,920000
2,1,life,685696,17000,283,12,20,920000
2,1,life,1047857,23000,327,12,22,920000
2,1,life,739265,16000,275,12,22,920000
2,1,life,847866,17000,315,12,31,920000
2,1,life,706622,15000,238,12,26,920000
2,1,life,458626,10000,185,12,23,920000
2,1,life,690253,14000,246,12,26,920000
2,1,life,1291302,26000,486,12,34,920000
2,1,life,521914,14000,245,12,24,920000
2,1,life,734094,17000,250,12,28,920000
2,1,life,639017,14000,247,12,30,920000
2,1,life,922464,19000,337,12,35,920000
2,1,life,639364,14000,224,12,22,920000
2,1,life,1091148,21000,317,12,22,920000
2,1,life,850712,19000,280,12,25,920000
3,0,life,438121,13000,132,12,26,920000
3,1,life,453143,18000,186,12,13,920000
2,1,life,1017659,22000,338,12,29,920000
2,1,life,625853,16000,225,12,22,920000
2,1,life,799908,17000,273,12,25,920000
2,1,life,1063101,21000,335,12,28,920000
2,0,life,494147,15000,186,12,26,920000
2,1,life,775384,17000,261,12,24,920000
2,1,life,1507824,39000,514,12,27,920000
2,1,life,692660,17000,223,12,25,920000
1,1,life,152376,5200,72,8,9,460000
1.5,1,life,117041,3800,63,8,8,460000
1,0,life,68421,3300,31,8,12,460000
2.5,1,life,133196,3900,92,8,15,460000
2.5,1,life,109333,6100,40,8,19,460000
1.5,0,life,116091,7200,49,8,15,460000
1.5,0,life,101453,3100,47,8,11,460000
2.5,1,life,77953,3100,35,8,11,460000
1.5,1,life,197190,5400,88,8,16,460000
1.5,1,life,272508,8700,135,8,11,460000
1.5,1,life,87545,4900,29,8,8,460000
2.5,0,life,65216,2200,28,8,18,460000
2.5,1,life,92518,3800,43,8,7,460000
1.5,1,life,359951,11000,154,8,9,460000
2.5,1,life,829285,31000,378,8,10,460000
2.5,1,life,380976,11000,230,8,8,460000
1.5,1,life,210687,14000,74,8,9,460000
1.5,1,life,101064,3000,50,8,7,460000
1.5,1,life,265161,8100,96,8,12,460000
1.5,0,life,88138,2700,45,8,12,460000
1.5,1,life,73700,2500,28,8,10,460000
1.5,1,life,97617,2900,37,8,18,460000
1.5,1,life,125082,3800,52,8,17,460000
1.5,0,life,27126,1000,13,8,7,460000
1.5,0,life,64985,2200,28,8,8,460000
2.5,1,life,141575,4300,64,8,7,460000
1.5,1,life,87110,2900,49,8,8,460000
1.5,1,life,135163,3600,78,8,10,460000
1.5,1,life,49932,2000,18,8,4,460000
