thumbnail,title,category,view_count,likes_count,dislikes_count,upload_date,video_length,subscribe_count
0,1,eating,15078698,160000,9000,16,19,1370000
0.5,1,eating,9335028,150000,7500,16,12,1710000
0,3,eating,8597474,100000,9400,16,11,1140000
0,1,eating,8250031,82000,4300,16,11,1370000
0,3,eating,7974240,110000,5900,16,9,1370000
0.5,1,eating,7740270,84000,8100,13,16,402000
0,5,eating,6818542,96000,3000,15,12,2040000
0,1,eating,6514885,99000,5200,16,11,1140000
0,1,eating,5905261,72000,6200,16,11,1140000
0.5,1,eating,5399509,57000,3800,16,12,1710000
0,3,eating,5280847,66000,4300,16,10,1140000
0,3,eating,5264288,61000,4400,16,10,1140000
0,1,eating,5216267,58000,3100,15,13,2040000
0,3,eating,5205025,53000,3900,5,17,532000
0,3,eating,5087014,68000,4300,16,12,1370000
0.5,1,eating,4951438,57000,2600,16,13,1710000
0.5,3,eating,4932640,68000,2600,19,11,2320000
0.5,5,eating,4736473,77000,2400,19,11,2320000
0.5,1,eating,4711343,60000,4200,13,15,402000
0,1,eating,4018912,69000,4500,16,12,1140000
0,3,eating,4018508,73000,3200,16,10,1370000
0.5,5,eating,3992896,51000,2600,16,12,1710000
0,1,eating,3939130,49000,1700,15,12,2040000
0.5,1,eating,3860093,47000,1100,16,13,1710000
0,1,eating,3773965,44000,1900,15,26,2040000
0,1,eating,3690384,53000,3700,16,11,1140000
0,5,eating,3438566,48000,1900,5,18,532000
0.5,1,eating,3425858,47000,2800,16,13,1710000
0,1,eating,3400938,42000,1800,15,11,2040000
2.5,1,eating,3342533,55000,1900,16,11,1710000
2.5,1,eating,3316243,38000,2700,16,11,1710000
0,1,eating,3269074,44000,1500,15,15,2040000
0.5,3,eating,3253019,53000,3000,16,13,1710000
0,1,eating,3182437,36000,2800,16,10,1140000
0,5,eating,3165942,48000,2300,5,11,532000
0,5,eating,3109681,43000,1100,15,8,2040000
0.5,1,eating,3105782,37000,1120,16,11,1710000
2.5,1,eating,3103232,49000,1700,16,12,1710000
0.5,0,eating,3075733,61000,1200,19,11,2320000
0.5,1,eating,3040650,43000,2100,13,10,402000
0.5,4,eating,3031529,63000,1900,15,10,2040000
0,1,eating,2955028,43000,1200,15,9,2040000
0,3,eating,2866163,39000,2500,5,7,532000
0,1,eating,2840077,40000,2400,5,8,532000
2.5,1,eating,2808257,43000,1900,16,11,1710000
0,1,eating,2798903,44000,1300,15,14,2040000
0.5,1,eating,2791284,50000,1700,19,11,2320000
0,1,eating,2754853,39000,1700,16,16,1370000
2.5,1,eating,2744174,52000,1700,16,11,1710000
0.5,0,eating,2725751,40000,995,15,11,2040000
0.5,5,eating,2706901,68000,1100,19,13,2320000
0,5,eating,2702655,39000,1100,15,14,2040000
0,1,eating,2695626,39000,1100,15,12,2040000
2.5,1,eating,2682422,40000,2200,16,13,1710000
0,1,eating,2675256,38000,2300,16,12,1140000
0.5,1,eating,2633555,30000,1700,16,13,1710000
0,1,eating,2633042,29000,1400,16,8,1370000
2.5,1,eating,2615288,41000,1600,16,12,1710000
2.5,1,eating,2601161,34000,1600,16,14,1710000
2.5,1,eating,2521240,30000,1600,16,9,1710000
2.5,1,eating,2519413,38000,2000,16,12,1710000
2.5,1,eating,2510277,42000,1300,16,11,1710000
0.5,1,eating,2497218,34000,1400,16,12,1710000
0.5,1,eating,2494517,40000,1600,16,13,1710000
0,2,eating,2491188,36000,1500,16,9,1370000
2.5,1,eating,2378526,47000,1600,16,12,1710000
2.5,5,eating,2357497,44000,1300,16,14,1710000
0.5,1,eating,2352890,47000,942,19,11,2320000
0.5,3,eating,2316587,30000,1400,13,11,402000
0,1,eating,2313349,30000,1000,15,17,2040000
0,1,eating,2304504,30000,1100,15,12,2040000
0,2,eating,2297170,31000,1400,15,11,2040000
0,1,eating,2259005,29000,1100,15,14,2040000
0.5,1,eating,2251159,35000,1400,19,11,2320000
2.5,1,eating,2232295,43000,1300,16,12,1710000
0.5,1,eating,2166086,31000,1300,16,12,1710000
0,1,eating,2153151,25000,1000,15,15,2040000
0.5,1,eating,2146778,39000,1000,19,11,2320000
0,1,eating,2130427,34000,2000,16,13,1140000
2.5,1,eating,2116899,34000,1200,16,12,1710000
0,1,eating,2112794,31000,1900,16,11,1140000
0.5,1,eating,2104876,32000,1000,16,11,1710000
0.5,1,eating,2094818,34000,1300,19,12,2320000
0,1,eating,2086585,25000,1100,16,15,1370000
2.5,1,eating,2070036,27000,1000,16,12,1710000
0,1,eating,2038359,28000,871,15,18,2040000
0,1,eating,2032414,27000,1000,16,11,1370000
0.5,5,eating,2025226,40000,1400,16,12,1710000
2.5,1,eating,2023150,41000,1000,16,11,1710000
0.5,4,eating,2011310,46000,787,19,13,2320000
0,5,eating,2010711,32000,966,15,13,2040000
0.5,1,eating,1998687,24000,1100,16,12,1710000
0.5,0,eating,1989905,51000,1100,19,12,2320000
0.5,1,eating,1985081,37000,1300,16,11,1710000
2.5,5,eating,1946421,32000,1100,16,11,1710000
0.5,1,eating,1920943,38000,970,19,12,2320000
0,1,eating,1913396,28000,1700,16,10,1140000
0,1,eating,1896552,23000,1000,15,12,2040000
0,1,eating,1895008,34000,970,15,11,2040000
0.5,0,eating,1862746,45000,802,19,12,2320000
0,1,eating,1861419,29000,792,15,8,2040000
0.5,1,eating,1857544,23000,967,13,15,402000
0.5,1,eating,1841734,33000,963,19,12,2320000
0.5,2,eating,1818012,22000,1100,13,11,402000
2.5,1,eating,1815545,37000,1100,16,11,1710000
0,1,eating,1813525,28000,804,15,12,2040000
0,1,eating,1806191,27000,2000,16,12,1140000
0,1,eating,1791175,27000,738,15,13,2040000
2.5,1,eating,1753820,33000,1100,16,11,1710000
0.5,1,eating,1748875,24000,1200,13,13,402000
0,1,eating,1747425,24000,1400,16,14,1140000
0,3,eating,1740364,27000,1000,16,10,1370000
2.5,5,eating,1714674,31000,1110,16,11,1710000
0.5,2,eating,1696482,23000,1000,13,11,402000
2.5,1,eating,1675859,27000,875,16,13,1710000
2.5,1,eating,1675639,35000,1400,16,11,1710000
2.5,1,eating,1675240,29000,883,16,11,1710000
0,5,eating,1656421,31000,926,16,18,1370000
0.5,4,eating,1652256,37000,664,19,12,2320000
0,1,eating,1644588,21000,841,15,15,2040000
0,1,eating,1634349,25000,721,15,11,2040000
0,1,eating,1633618,23000,1200,16,10,1140000
0,1,eating,1629946,18000,1100,5,12,532000
0.5,1,eating,1604435,28000,1200,16,14,1710000
0.5,1,eating,1603009,15000,1600,13,5,402000
2.5,1,eating,1586203,30000,1000,16,12,1710000
2.5,1,eating,1584639,22000,842,16,9,1710000
2.5,1,eating,1576349,22000,873,16,13,1710000
0,1,eating,1575100,23000,1100,16,9,1140000
0,5,eating,1570046,26000,735,15,15,2040000
0,1,eating,1561934,24000,1100,16,12,1140000
0,1,eating,1558762,22000,957,16,16,1370000
2.5,1,eating,1551376,23000,1100,16,12,1710000
0.5,1,eating,1550194,21000,841,16,11,1710000
2.5,1,eating,1548327,26000,838,16,12,1710000
0.5,3,eating,1542804,32000,721,19,11,2320000
0,5,eating,1532119,23000,669,15,17,2040000
0,1,eating,1531656,24000,792,15,12,2040000
0,1,eating,1525818,29000,1100,16,10,1140000
0,5,eating,1520154,24000,950,16,15,1370000
0,4,eating,1517407,22000,815,15,9,2040000
0.5,1,eating,1488034,31000,1800,16,10,1710000
0.5,1,eating,1468369,29000,1200,16,13,1710000
0.5,1,eating,1467874,30000,773,19,11,2320000
0,1,eating,1460755,24000,803,15,12,2040000
0.5,1,eating,1456844,29000,1000,16,13,1710000
0.5,1,eating,1454878,26000,1100,16,8,1710000
0,3,eating,1453764,24000,833,16,11,1370000
0,1,eating,1447316,23000,647,15,12,2040000
0,5,eating,1444041,27000,750,15,13,2040000
0.5,0,eating,1425269,34000,679,19,11,2320000
0,5,eating,1425113,22000,752,15,14,2040000
0,1,eating,1415449,22000,1100,16,10,1140000
0.5,1,eating,1403278,35000,797,19,11,2320000
0.5,1,eating,1395440,29000,693,19,12,2320000
0.5,1,eating,1383344,26000,878,19,11,2320000
0.5,1,eating,1376448,32000,728,19,11,2320000
0,1,eating,1373118,22000,642,15,10,2040000
0,1,eating,1371496,20000,1100,16,12,1140000
0,5,eating,1370782,20000,575,15,16,2040000
0.5,1,eating,1355422,29000,735,19,11,2320000
0,3,eating,1347687,17000,930,16,14,1370000
0.5,1,eating,1329771,34000,1200,16,14,1710000
0.5,1,eating,1314459,28000,715,19,11,2320000
0,1,eating,1307145,22000,626,15,12,2040000
0,1,eating,1275602,23000,651,15,14,2040000
0,1,eating,1270074,20000,622,15,13,2040000
0,1,eating,1244120,17000,937,16,14,1370000
0,1,eating,1241987,18000,720,15,19,2040000
0.5,0,eating,1237063,36000,509,19,11,2320000
0,1,eating,1211568,24000,682,15,13,2040000
0,1,eating,1198460,19000,564,15,11,2040000
0,4,eating,1186881,22000,675,15,11,2040000
0,1,eating,1186543,18000,1100,16,12,1140000
0,1,eating,1168755,22000,907,16,10,1140000
0.5,1,eating,1147319,25000,579,19,13,2320000
0.5,1,eating,1146431,18000,752,13,10,402000
2.5,1,eating,1129589,18000,903,16,12,1710000
0,1,eating,1126748,18000,622,15,15,2040000
0,1,eating,1123379,19000,1400,16,13,1140000
0,1,eating,1115855,17000,1100,16,12,1140000
0,3,eating,1107056,20000,571,5,9,532000
0,1,eating,1105622,15000,974,16,11,1140000
0.5,1,eating,1105524,15000,652,13,13,402000
0,2,eating,1071810,19000,734,15,11,2040000
0.5,3,eating,1053871,18000,622,13,15,402000
0.5,1,eating,1050008,25000,513,19,11,2320000
0,1,eating,1037829,16000,641,16,13,1370000
0.5,2,eating,1031759,16000,710,13,9,402000
0.5,1,eating,1026646,22000,538,19,11,2320000
0,1,eating,1023435,17000,621,16,10,1370000
0.5,5,eating,992925,27000,530,19,11,2320000
0,3,eating,988489,22000,543,15,15,2040000
0,1,eating,969093,17000,848,16,11,1140000
0,1,eating,959225,16000,859,16,13,1140000
0,1,eating,951742,16000,569,16,14,1370000
0,5,eating,950042,17000,612,15,15,2040000
0,4,eating,914055,13000,470,5,7,532000
0,1,eating,894811,12000,550,16,12,1370000
0,1,eating,887870,16000,568,15,12,2040000
0.5,1,eating,869918,12000,524,13,7,402000
0,3,eating,861179,14000,487,16,14,1370000
0.5,5,eating,857241,28000,445,19,11,2320000
0.5,0,eating,854306,21000,355,15,12,2040000
0.5,4,eating,853370,25000,373,19,11,2320000
0,1,eating,849283,14000,581,16,8,1370000
0,1,eating,842873,11000,434,16,15,1370000
0,3,eating,831293,18000,659,16,18,1370000
0.5,1,eating,829264,23000,495,19,11,2320000
0,5,eating,818116,15000,787,16,11,1140000
0.5,1,eating,803723,20000,402,19,11,2320000
0,5,eating,790371,16000,633,16,16,1370000
0.5,1,eating,783221,26000,413,19,11,2320000
0,1,eating,781296,15000,628,16,10,1140000
0.5,1,eating,779168,10000,465,13,11,402000
0.5,1,eating,758738,14000,668,13,14,402000
0,1,eating,737891,12000,455,16,14,1370000
0,1,eating,737091,12000,502,16,14,1370000
0,5,eating,727368,15000,644,16,14,1140000
0.5,1,eating,720704,13000,489,13,8,402000
0,1,eating,709521,13000,702,16,14,1140000
0.5,0,eating,696557,11000,572,15,8,2040000
0,5,eating,690645,11000,265,5,13,532000
0,5,eating,686485,13000,415,16,19,1370000
0,1,eating,678705,12000,594,16,20,1370000
0,1,eating,662353,11000,484,16,13,1370000
0,1,eating,657731,12000,424,16,11,1370000
0.5,1,eating,641888,18000,328,19,12,2320000
0,1,eating,633590,12000,1600,16,10,1370000
0.5,1,eating,629754,24000,347,19,11,2320000
0,5,eating,628218,13000,527,16,11,1140000
0,1,eating,624157,11000,515,16,9,1140000
0.5,1,eating,617007,19000,497,19,11,2320000
0.5,0,eating,607844,7900,443,13,14,402000
0,1,eating,604973,9700,364,5,10,532000
0.5,1,eating,595985,8400,378,13,8,402000
0.5,5,eating,592468,18000,368,19,9,2320000
0,5,eating,589475,13000,546,16,10,1140000
0,1,eating,588206,13000,502,16,11,1370000
0,1,eating,585735,10000,452,16,10,1140000
0,1,eating,584960,9500,343,16,11,1370000
0.5,2,eating,579794,9000,536,13,16,402000
0.5,1,eating,577907,7000,217,13,11,402000
0,1,eating,565536,9400,345,16,10,1140000
0,5,eating,551128,11000,467,16,11,1140000
0,2,eating,548659,10000,410,16,12,1370000
0,3,eating,539791,10000,228,5,12,532000
0,4,eating,539568,10000,385,16,10,1370000
0.5,1,eating,513216,6700,262,13,13,402000
0.5,2,eating,510503,5800,326,13,16,402000
0,5,eating,503143,11000,334,16,19,1370000
0,5,eating,482257,11000,295,16,11,1370000
0,5,eating,481584,10000,264,5,13,532000
0.5,1,eating,465541,8300,420,13,17,402000
0,3,eating,450576,7800,158,5,11,532000
0,3,eating,449389,9000,299,16,17,1370000
0.5,1,eating,449335,6600,282,13,11,402000
0.5,2,eating,448845,6800,294,13,12,402000
0,1,eating,424409,5900,173,5,11,532000
0,1,eating,417076,8100,326,16,10,1370000
0,1,eating,415381,8300,319,16,15,1370000
0,5,eating,388010,9600,396,16,12,1140000
0,4,eating,381148,9000,368,16,9,1370000
0,3,eating,372072,7800,202,5,15,532000
0.5,3,eating,371265,7700,262,13,12,402000
0.5,3,eating,363226,6900,262,13,11,402000
0,1,eating,323624,6600,263,16,14,1370000
0,1,eating,319284,5600,193,5,24,532000
0,5,eating,309475,6900,202,5,13,532000
0,3,eating,304571,5600,159,5,12,532000
0,1,eating,295006,5400,115,5,17,532000
0,4,eating,283626,8500,262,16,15,1370000
0,4,eating,278551,5600,129,5,7,532000
0,1,eating,269416,5100,96,5,11,532000
0,3,eating,259633,5300,93,5,10,532000
0,1,eating,233353,4700,108,5,9,532000
0,4,eating,231010,4900,117,5,8,532000
0,3,eating,228821,4000,93,5,11,532000
0,1,eating,204458,4800,84,5,12,532000
0,1,eating,201003,3400,78,5,23,532000
0.5,1,eating,197737,3000,113,13,14,402000
0,3,eating,195825,4100,94,5,25,532000
0.5,3,eating,192157,3100,83,13,12,402000
0,3,eating,191741,3700,120,5,7,532000
0,5,eating,184921,3600,76,5,20,532000
0,1,eating,184723,3600,74,5,23,532000
0,1,eating,176337,4900,107,5,9,532000
0.5,0,eating,176160,2900,109,13,9,402000
0.5,0,eating,170368,6800,81,16,4,1370000
0,1,eating,162588,3000,73,5,11,532000
0,5,eating,158490,2900,87,5,58,532000
0.5,5,eating,148954,3600,92,13,15,402000
0.5,3,eating,145812,2400,104,13,8,402000
0,0,eating,142883,3200,47,5,8,532000
0,1,eating,141223,2700,86,5,14,532000
0.5,3,eating,139040,1800,54,13,9,402000
0,4,eating,131009,2700,83,5,8,532000
0,5,eating,128851,2700,85,5,10,532000
0,1,eating,123695,2800,57,5,13,532000
0.5,3,eating,113976,2600,99,13,8,402000
0,1,eating,107552,3000,65,5,10,532000
1.5,1,eating,107095,2800,55,5,7,532000
0,4,eating,105262,2500,64,5,12,532000
0.5,1,eating,104158,1800,60,13,6,402000
0.5,1,eating,100411,1700,51,13,11,402000
0.5,2,eating,98041,2600,68,13,10,402000
0.5,1,eating,95699,1700,76,13,9,402000
0,1,eating,92360,2400,81,5,9,532000
0.5,1,eating,81281,1700,34,13,11,402000
0.5,0,eating,79909,1900,45,13,10,402000
0,1,eating,78540,2600,37,5,11,532000
0.5,2,eating,62631,6400,97,19,11,2320000
0.5,3,eating,50546,1200,42,13,12,402000
0.5,1,eating,50249,1100,32,13,8,402000
0.5,1,eating,11823,1600,49,13,14,402000
1,0,beauty,569660,24000,453,4,3,780000
2,1,beauty,172620,7400,75,3,3,532000
0,0,beauty,156336,3300,275,6,3,720000
5,0,beauty,83563,2300,26,6,3,720000
0,0,beauty,121444,3100,185,6,3,720000
1,0,beauty,503949,8700,403,4,4,273000
0,0,beauty,1164440,19000,1200,4,4,273000
0,2,beauty,106759,10000,39,3,4,460000
3,2,beauty,186887,6100,60,3,4,671000
2,1,beauty,65906,2100,14,3,4,532000
0,1,beauty,4958523,130000,1200,3,4,532000
3,2,beauty,280451,4900,91,2,4,515000
0,2,beauty,246478,6700,63,2,4,515000
3,2,beauty,68007,3400,25,2,4,515000
4,2,beauty,336887,11000,126,2,4,515000
0,0,beauty,60848,1900,37,2,4,515000
0,2,beauty,126848,5300,36,4,5,780000
2,1,beauty,258346,5000,67,4,5,780000
0,0,beauty,1452303,32000,377,4,5,273000
4,2,beauty,78148,2900,26,4,5,559000
3,2,beauty,422367,13000,136,3,5,671000
4,2,beauty,781497,14000,191,3,5,532000
0,2,beauty,72589,3600,30,2,5,515000
0,2,beauty,216498,11000,48,2,5,515000
0,2,beauty,117266,5500,44,2,5,515000
0,2,beauty,194177,7100,73,2,5,515000
0,2,beauty,108989,5500,48,2,5,515000
3,2,beauty,1251632,33000,307,3,6,671000
0,2,beauty,361061,14000,147,2,6,515000
3,2,beauty,9014177,240000,4800,3,6,671000
0,0,beauty,1063816,24000,627,4,6,273000
0,0,beauty,948294,6900,181,4,6,273000
1,2,beauty,252943,15000,114,4,6,559000
3,2,beauty,3303363,75000,2000,3,6,671000
0,2,beauty,1881679,60000,819,2,6,515000
0,1,beauty,162825,3800,54,4,6,780000
3,2,beauty,358109,13000,98,3,6,671000
3,2,beauty,2361796,60000,1300,3,6,671000
0,2,beauty,140399,6600,53,4,7,780000
0,2,beauty,231153,25000,109,4,7,559000
2,0,beauty,596088,10000,142,4,7,559000
0,3,beauty,55340,1500,19,3,7,532000
0,1,beauty,752576,13000,161,4,7,574000
2,1,beauty,391663,11000,105,3,7,532000
0,0,beauty,942968,44000,276,4,7,559000
0,2,beauty,150472,5500,58,2,7,515000
0,2,beauty,3330691,12000,1700,2,7,515000
1,2,beauty,323495,4600,61,6,7,374000
0,2,beauty,1112872,47000,435,2,7,515000
1,0,beauty,22800,1400,14,4,7,759000
1,0,beauty,129425,3200,60,5,7,763000
0,3,beauty,165442,2100,110,4,7,759000
0,1,beauty,118334,2500,26,4,7,273000
2,1,beauty,226712,8700,55,4,7,574000
3,3,beauty,279528,4800,80,6,7,374000
0,0,beauty,1442096,100000,894,4,7,559000
0,2,beauty,1356461,49000,240,3,7,460000
0,3,beauty,91712,2400,54,4,8,759000
0,0,beauty,988916,33000,382,4,8,574000
0,2,beauty,109259,7800,58,4,8,559000
0,2,beauty,1474679,38000,380,3,8,532000
0,3,beauty,111871,2100,71,4,8,759000
4,2,beauty,126296,1100,58,6,8,720000
0,2,beauty,1635718,82000,384,3,8,460000
0,2,beauty,159131,6900,80,4,8,780000
0,2,beauty,971594,21000,234,4,8,561000
0,2,beauty,811700,60000,654,4,8,559000
0,2,beauty,162835,6700,64,4,8,780000
4,0,beauty,310045,8000,107,4,8,574000
0,3,beauty,78845,1300,56,4,9,759000
1,0,beauty,565229,5900,170,4,9,273000
0,2,beauty,86380,6200,35,4,9,559000
1,0,beauty,457179,6300,115,6,9,374000
0,2,beauty,465617,16000,194,2,9,515000
1,0,beauty,1512499,1100,626,6,9,374000
0,2,beauty,226637,7800,59,3,9,532000
0,3,beauty,39629,962,16,5,9,763000
0,2,beauty,161629,1600,69,6,9,720000
1,0,beauty,341734,3600,78,6,9,374000
0,2,beauty,1818857,49000,354,6,9,720000
0,0,beauty,132625,2200,80,4,9,759000
0,2,beauty,921027,37000,170,3,9,460000
3,0,beauty,1960,280,2,3,9,671000
0,0,beauty,1507265,21000,484,6,9,720000
3,3,beauty,515515,7800,159,4,9,759000
0,0,beauty,1426287,41000,544,4,9,559000
4,2,beauty,147060,2800,26,4,9,780000
4,2,beauty,188352,4500,45,4,10,561000
0,2,beauty,529223,19000,124,4,10,780000
0,2,beauty,459376,58000,168,4,10,780000
2,0,beauty,294065,3200,127,6,10,374000
0,2,beauty,45634,994,12,5,10,791000
0,0,beauty,1768576,4800,1900,6,10,888000
1,2,beauty,221942,2300,121,6,10,374000
4,3,beauty,119399,2500,23,5,10,791000
0,2,beauty,152586,3900,42,5,10,763000
3,3,beauty,1162524,31000,526,6,10,720000
0,2,beauty,730408,13000,166,3,10,460000
0,2,beauty,1227607,22000,310,6,10,720000
0,2,beauty,1503695,20000,364,4,10,561000
0,2,beauty,2886774,24000,1400,5,10,763000
4,0,beauty,153246,2400,56,4,11,273000
1,0,beauty,335166,4700,73,6,11,374000
1,0,beauty,121067,3300,38,6,11,888000
2,3,beauty,85396,2200,39,4,11,759000
2,1,beauty,254226,5800,83,6,11,888000
3,3,beauty,234186,7600,85,4,11,759000
0,2,beauty,2766067,83000,100,2,11,515000
1,0,beauty,370299,4700,103,6,11,888000
0,2,beauty,77279,1600,33,3,11,532000
5,2,beauty,352873,9400,81,3,11,671000
4,0,beauty,674449,7100,260,6,11,888000
2,1,beauty,1404580,3900,241,3,11,460000
0,0,beauty,28967,817,19,4,11,759000
2,1,beauty,118622,1900,53,6,11,720000
4,4,beauty,115277,5100,23,5,11,791000
1,0,beauty,79787,2300,37,4,11,559000
0,3,beauty,79405,1900,39,4,11,759000
0,2,beauty,734018,23000,183,2,11,515000
0,3,beauty,53847,1300,38,4,11,759000
3,2,beauty,103217,4000,25,3,11,671000
